Date,Ticker,Open,High,Low,Close,Volume
2023-01-03,TSLA,118.47000122070312,118.80000305175781,104.63999938964844,108.0999984741211,231402800
2023-01-04,TSLA,109.11000061035156,114.58999633789062,107.5199966430664,113.63999938964844,180389000
2023-01-05,TSLA,110.51000213623047,111.75,107.16000366210938,110.33999633789062,157986300
2023-01-06,TSLA,103.0,114.38999938964844,101.80999755859375,113.05999755859375,220911100
2023-01-09,TSLA,118.95999908447266,123.5199966430664,117.11000061035156,119.7699966430664,190284000
2023-01-10,TSLA,121.06999969482422,122.76000213623047,114.91999816894531,118.8499984741211,167642500
2023-01-11,TSLA,122.08999633789062,125.94999694824219,120.51000213623047,123.22000122070312,183810800
2023-01-12,TSLA,122.55999755859375,124.12999725341797,117.0,123.55999755859375,169400900
2023-01-13,TSLA,116.55000305175781,122.62999725341797,115.5999984741211,122.4000015258789,180714100
2023-01-17,TSLA,125.69999694824219,131.6999969482422,125.0199966430664,131.49000549316406,186477000
2023-01-18,TSLA,136.55999755859375,136.67999267578125,127.01000213623047,128.77999877929688,195680300
2023-01-19,TSLA,127.26000213623047,129.99000549316406,124.30999755859375,127.16999816894531,170291900
2023-01-20,TSLA,128.67999267578125,133.50999450683594,127.3499984741211,133.4199981689453,138858100
2023-01-23,TSLA,135.8699951171875,145.3800048828125,134.27000427246094,143.75,203119200
2023-01-24,TSLA,143.0,146.5,141.10000610351562,143.88999938964844,158699100
2023-01-25,TSLA,141.91000366210938,146.41000366210938,138.07000732421875,144.42999267578125,192734300
2023-01-26,TSLA,159.97000122070312,161.4199981689453,154.75999450683594,160.27000427246094,234815100
2023-01-27,TSLA,162.42999267578125,180.67999267578125,161.1699981689453,177.89999389648438,306590600
2023-01-30,TSLA,178.0500030517578,179.77000427246094,166.5,166.66000366210938,230878800
2023-01-31,TSLA,164.57000732421875,174.3000030517578,162.77999877929688,173.22000122070312,196813500
2023-02-01,TSLA,173.88999938964844,183.80999755859375,169.92999267578125,181.41000366210938,213806300
2023-02-02,TSLA,187.3300018310547,196.75,182.61000061035156,188.27000427246094,217448300
2023-02-03,TSLA,183.9499969482422,199.0,183.69000244140625,189.97999572753906,232662000
2023-02-06,TSLA,193.00999450683594,198.1699981689453,189.9199981689453,194.75999450683594,186188100
2023-02-07,TSLA,196.42999267578125,197.5,189.5500030517578,196.80999755859375,186010300
2023-02-08,TSLA,196.10000610351562,203.0,194.30999755859375,201.2899932861328,180673600
2023-02-09,TSLA,207.77999877929688,214.0,204.77000427246094,207.32000732421875,215431400
2023-02-10,TSLA,202.22999572753906,206.1999969482422,192.88999938964844,196.88999938964844,204754100
2023-02-13,TSLA,194.4199981689453,196.3000030517578,187.61000061035156,194.63999938964844,172475500
2023-02-14,TSLA,191.94000244140625,209.82000732421875,189.44000244140625,209.25,216455700
2023-02-15,TSLA,211.75999450683594,214.66000366210938,206.11000061035156,214.24000549316406,181006400
2023-02-16,TSLA,210.77999877929688,217.64999389648438,201.83999633789062,202.0399932861328,229586500
2023-02-17,TSLA,199.99000549316406,208.44000244140625,197.5,208.30999755859375,213738500
2023-02-21,TSLA,204.99000549316406,209.7100067138672,197.22000122070312,197.3699951171875,180018600
2023-02-22,TSLA,197.92999267578125,201.99000549316406,191.77999877929688,200.86000061035156,191828500
2023-02-23,TSLA,203.91000366210938,205.13999938964844,196.3300018310547,202.07000732421875,146360000
2023-02-24,TSLA,196.3300018310547,197.6699981689453,192.8000030517578,196.8800048828125,142228100
2023-02-27,TSLA,202.02999877929688,209.4199981689453,201.25999450683594,207.6300048828125,161028300
2023-02-28,TSLA,210.58999633789062,211.22999572753906,203.75,205.7100067138672,153144900
2023-03-01,TSLA,206.2100067138672,207.1999969482422,198.52000427246094,202.77000427246094,156852800
2023-03-02,TSLA,186.74000549316406,193.75,186.00999450683594,190.89999389648438,181500700
2023-03-03,TSLA,194.8000030517578,200.47999572753906,192.8800048828125,197.7899932861328,154193300
2023-03-06,TSLA,198.5399932861328,198.60000610351562,192.3000030517578,193.80999755859375,128100100
