antecedents,consequents,support,confidence,lift,Ticker
Volume_Low,Volatility_High_Vol,0.10571081409477522,0.5723684210526315,1.1461294660007681,AAPL
Volume_Low,Return_DOWN,0.08262454434993925,0.4473684210526316,1.045977870813397,AAPL
Volume_Normal,Volatility_Low_Vol,0.3511543134872418,0.5442561205273069,1.0871912310533338,AAPL
Volatility_Low_Vol,Volume_Normal,0.3511543134872418,0.7014563106796116,1.0871912310533338,AAPL
Volume_Normal,Return_UP,0.37424058323207776,0.5800376647834274,1.013526535279747,AAPL
Return_UP,Volume_Normal,0.37424058323207776,0.6539278131634819,1.013526535279747,AAPL
Volume_High,Volatility_High_Vol,0.09963547995139732,0.5857142857142857,1.172853667014251,AAPL
Volume_High,Return_DOWN,0.07411907654921021,0.4357142857142858,1.018729707792208,AAPL
Return_DOWN,Volatility_Low_Vol,0.2332928311057108,0.5454545454545454,1.0895851721094438,AAPL
Volatility_Low_Vol,Return_DOWN,0.2332928311057108,0.4660194174757281,1.0895851721094438,AAPL
Return_UP,Volatility_High_Vol,0.30498177399756987,0.5329087048832272,1.067114024620185,AAPL
Volatility_High_Vol,Return_UP,0.30498177399756987,0.610705596107056,1.067114024620185,AAPL
"Sentiment_Neutral, Volume_Low",Volatility_High_Vol,0.10571081409477522,0.5723684210526315,1.1461294660007681,AAPL
Volume_Low,"Sentiment_Neutral, Volatility_High_Vol",0.10571081409477522,0.5723684210526315,1.1461294660007681,AAPL
"Sentiment_Neutral, Volume_Low",Return_DOWN,0.08262454434993925,0.4473684210526316,1.045977870813397,AAPL
Volume_Low,"Sentiment_Neutral, Return_DOWN",0.08262454434993925,0.4473684210526316,1.045977870813397,AAPL
"Sentiment_Neutral, Volume_Normal",Volatility_Low_Vol,0.3511543134872418,0.5442561205273069,1.0871912310533338,AAPL
"Sentiment_Neutral, Volatility_Low_Vol",Volume_Normal,0.3511543134872418,0.7014563106796116,1.0871912310533338,AAPL
Volume_Normal,"Sentiment_Neutral, Volatility_Low_Vol",0.3511543134872418,0.5442561205273069,1.0871912310533338,AAPL
Volatility_Low_Vol,"Sentiment_Neutral, Volume_Normal",0.3511543134872418,0.7014563106796116,1.0871912310533338,AAPL
"Sentiment_Neutral, Volume_Normal",Return_UP,0.37424058323207776,0.5800376647834274,1.013526535279747,AAPL
"Sentiment_Neutral, Return_UP",Volume_Normal,0.37424058323207776,0.6539278131634819,1.013526535279747,AAPL
Volume_Normal,"Sentiment_Neutral, Return_UP",0.37424058323207776,0.5800376647834274,1.013526535279747,AAPL
Return_UP,"Sentiment_Neutral, Volume_Normal",0.37424058323207776,0.6539278131634819,1.013526535279747,AAPL
"Volume_High, Sentiment_Neutral",Volatility_High_Vol,0.09963547995139732,0.5857142857142857,1.172853667014251,AAPL
Volume_High,"Sentiment_Neutral, Volatility_High_Vol",0.09963547995139732,0.5857142857142857,1.172853667014251,AAPL
"Volume_High, Sentiment_Neutral",Return_DOWN,0.07411907654921021,0.4357142857142858,1.018729707792208,AAPL
